Season|PlayerTeam|GP|W|L|Min|DistFeet|DistMiles|DistMilesOff|DistMilesDef|AvgSpeed|AvgSpeedOff|AvgSpeedDef|injuryCntYear
2020-21|Jahlil Okafor|12.0|1.0|11.0|10.0|3879.5|0.73|0.38|0.35|4.15|4.28|4.01|1
2020-21|Jahmi'us Ramsey|5.0|0.0|5.0|3.4|1139.6|0.22|0.12|0.1|4.31|5.05|3.67|0
2020-21|Jake Layman|32.0|7.0|25.0|16.4|6854.6|1.3|0.72|0.58|4.44|4.97|3.95|0
2020-21|Jakob Poeltl|42.0|22.0|20.0|24.4|9680.3|1.83|0.98|0.86|4.38|4.66|4.11|2
2020-21|Jalen Brunson|39.0|21.0|18.0|24.8|9911.0|1.88|1.04|0.84|4.33|4.7|3.94|2
2020-21|Jalen Harris|4.0|2.0|2.0|3.5|1546.8|0.29|0.15|0.14|4.67|5.11|4.29|0
2020-21|Jalen Lecque|4.0|2.0|2.0|3.0|1320.3|0.25|0.15|0.1|4.29|4.81|3.71|3
2020-21|Jalen McDaniels|21.0|9.0|12.0|11.2|4839.1|0.92|0.5|0.42|4.61|5.12|4.12|0
2020-21|Jalen Smith|15.0|11.0|4.0|4.4|1855.7|0.35|0.2|0.15|4.51|4.89|4.09|0
2020-21|Jamal Murray|43.0|27.0|16.0|35.5|13939.3|2.64|1.45|1.19|4.24|4.57|3.9|2
2020-21|James Ennis|28.0|8.0|20.0|22.1|9348.5|1.77|0.95|0.82|4.52|4.76|4.27|1
2020-21|James Harden|39.0|26.0|13.0|38.1|12946.4|2.45|1.37|1.09|3.63|4.05|3.21|1
2020-21|James Johnson|29.0|13.0|16.0|17.4|6740.1|1.28|0.68|0.6|4.14|4.46|3.83|0
2020-21|James Wiseman|32.0|15.0|17.0|21.4|8663.5|1.64|0.85|0.79|4.42|4.77|4.1|0
2020-21|Jared Dudley|11.0|6.0|5.0|6.9|2611.4|0.49|0.28|0.22|3.99|4.25|3.71|0
2020-21|Jared Harper|3.0|2.0|1.0|2.4|821.3|0.16|0.08|0.08|5.16|4.38|3.89|2
2020-21|Jarred Vanderbilt|43.0|9.0|34.0|18.2|7706.5|1.46|0.79|0.67|4.5|4.86|4.13|0
2020-21|Jarrell Brantley|13.0|11.0|2.0|2.6|1109.2|0.21|0.11|0.1|4.25|4.74|4.08|0
2020-21|Jarrett Allen|44.0|17.0|27.0|28.7|10736.3|2.03|1.1|0.93|3.99|4.32|3.67|1
2020-21|Jarrett Culver|22.0|4.0|18.0|18.3|7493.5|1.42|0.76|0.66|4.37|4.66|4.08|0
2020-21|Javonte Green|25.0|12.0|13.0|13.8|5739.8|1.09|0.57|0.52|4.37|4.55|4.18|3
2020-21|Jaxson Hayes|33.0|13.0|20.0|13.2|5329.7|1.01|0.53|0.48|4.25|4.45|4.06|0
